MARKET,NUMER SKLEPU,IP
Dmosin Drugi 1,10555,10.85.55.100
Drawno 1,10556,10.85.56.100
Godów 1,10557,10.85.57.100
Klonowa 1,10558,10.85.58.100
Łosiów 1,10560,10.85.60.100
Miłkowice 1,10562,10.85.62.100
Pacanów 1,10563,10.85.63.100
Piekary Śląskie 1,10564,10.85.64.100
Radoszyce 1,10565,10.85.65.100
Ruda Śląska 2,10566,10.85.66.100
Obrowo 1,10568,10.85.68.100
Pielgrzymka 1,10569,10.85.69.100
Wykroty 1,10572,10.85.72.100
Ziębice 1,10573,10.85.73.100
Chróstnik 1,10575,10.85.75.100
Dąbrowa Biskupia 1,10576,10.85.76.100
Domaszowice 1,10577,10.85.77.100
Goświnowice 1,10578,10.85.78.100
Iwiny 1,10579,10.85.79.100
Krzanowice 1,10580,10.85.80.100
Lutynia 1,10581,10.85.81.100
Mochy 1,10582,10.85.82.100
Potworów 1,10583,10.85.83.100
Siedlisko 1,10584,10.85.84.100
Konopiska 1,10585,10.85.85.100
Wiślica 1,10587,10.85.87.100
Gruta 1,10589,10.85.89.100
Marklowice 1,10591,10.85.91.100
Radomsko 3,10592,10.85.92.100
Ruszowice 1,10593,10.85.93.100
Wola 1,10594,10.85.94.100
Leśna 1,10595,10.85.95.100
Czarnożyły 1,10597,10.85.97.100
Gardeja 1,10598,10.85.98.100
Kiernozia 1,10600,10.86.0.100
Kostrzyn nad Odrą 1,10601,10.86.1.100
Milicz 2,10603,10.86.3.100
Mrowino 1,10604,10.86.4.100
Jastrzębie Zdrój 2,10605,10.86.5.100
Rudniki 1,10606,10.86.6.100
Świdnica 1,10608,10.86.8.100
Debrzno 1,10610,10.86.10.100
Kobierno 1,10612,10.86.12.100
Krajenka 1,10613,10.86.13.100
Łęknica 1,10615,10.86.15.100
Miasteczko Śląskie 1,10616,10.86.16.100
Ostrów 14,10618,10.86.18.100
Strzelce Małe 1,10619,10.86.19.100
Uskorz Mały 1,10620,10.86.20.100
Żarnów 1,10621,10.86.21.100
Opole 2,10622,10.86.22.100
Koluszki 1,10623,10.86.23.100
Lubliniec 1,10624,10.86.24.100
Wrocław 11,10625,10.86.25.100
Czastary 1,10626,10.86.26.100
Hażlach 1,10627,10.86.27.100
Kłodawa 2,10628,10.86.28.100
Kocierzew 1,10629,10.86.29.100
Marcinowice 1,10630,10.86.30.100
Nowy Tomyśl 1,10631,10.86.31.100
Poznań 2,10632,10.86.32.100
Smolice 1,10633,10.86.33.100
Sulików 1,10634,10.86.34.100
Środa Śląska 2,10635,10.86.35.100
Zagrodno 1,10636,10.86.36.100
Janowiec Wielkopolski 1,10637,10.86.37.100
Wierzchosławice (Mał) 1,10638,10.86.38.100
Czarnowąsy 1,10639,10.86.39.100
Człuchów 1,10641,10.86.41.100
Gaworzyce 1,10642,10.86.42.100
Kluczbork 2,10643,10.86.43.100
Kobierzyce 1,10644,10.86.44.100
Odolanów 2,10645,10.86.45.100
Piechcin 1,10646,10.86.46.100
Przylep 1,10647,10.86.47.100
Skoki 1,10648,10.86.48.100
Huta Stara 1,10649,10.86.49.100
Tychy 1,10651,10.86.51.100
Ustronie Morskie 1,10652,10.86.52.100
Wilkowyja 1,10653,10.86.53.100
Kościan 2,10655,10.86.55.100
Sułów 2,10656,10.86.56.100
Bełk 1,10657,10.86.57.100
Brzeziny 1,10658,10.86.58.100
Doruchów 1,10659,10.86.59.100
Mieszków 1,10662,10.86.62.100
Występ 1,10664,10.86.64.100
Zgorzelec 1,10665,10.86.65.100
Jenin 1,10666,10.86.66.100
Kędzierzyn-Koźle 1,10667,10.86.67.100
Kwilcz 1,10668,10.86.68.100
Popielów 1,10670,10.86.70.100
Rusiec 1,10671,10.86.71.100
Sicienko 1,10672,10.86.72.100
Wschowa 2,10676,10.86.76.100
Lipki Wielkie 1,10677,10.86.77.100
Kutno 2,10678,10.86.78.100
Baborów 1,10679,10.86.79.100
Gowarzewo 1,10681,10.86.81.100
Królewiec 1,10683,10.86.83.100
Lgota Wielka 1,10684,10.86.84.100
Lipówki 1,10685,10.86.85.100
Łyszkowice 1,10686,10.86.86.100
Niechorze 1,10687,10.86.87.100
Przyprostynia 1,10688,10.86.88.100
Pszczyna 1,10689,10.86.89.100
Radzionków 1,10690,10.86.90.100
Robakowo 1,10691,10.86.91.100
Sieroszewice 1,10692,10.86.92.100
Sośnie 1,10693,10.86.93.100
września 2,10694,10.86.94.100
Aleksandrów Kujawski 1,10697,10.86.97.100
Brusy 1,10700,10.87.0.100
Dzierzgoń 1,10701,10.87.1.100
Fałków 1,10702,10.87.2.100
Grzybowo 1,10703,10.87.3.100
Jadów 1,10704,10.87.4.100
Murów 1,10705,10.87.5.100
Praszka 1,10706,10.87.6.100
Słupia 1,10707,10.87.7.100
Żnin 1,10709,10.87.9.100
Racibórz 2,10710,10.87.10.100
Wieliszew 1,10711,10.87.11.100
Góra 2,10712,10.87.12.100
Grodków 1,10713,10.87.13.100
Wrocław 15,10715,10.87.15.100
Bieniewice 1,10716,10.87.16.100
Chmielnik 1,10717,10.87.17.100
Czerwona Woda 1,10718,10.87.18.100
Dąbrowa Górnicza 2,10719,10.87.19.100
Dolna Grupa 1,10720,10.87.20.100
Koszęcin 1,10723,10.87.23.100
Lamki 1,10725,10.87.25.100
Łeba 1,10726,10.87.26.100
Mrocza 1,10727,10.87.27.100
Myślibórz 1,10728,10.87.28.100
Oblęgorek 1,10729,10.87.29.100
Rozlazłów 1,10730,10.87.30.100
Skarżysko-Kamienna 1,10731,10.87.31.100
Stare Bojanowo 1,10732,10.87.32.100
Mielno (zach) 1,10734,10.87.34.100
Banie 1,10735,10.87.35.100
Bysław 1,10736,10.87.36.100
Dobiegniew 1,10737,10.87.37.100
Jaworznia 1,10738,10.87.38.100
Kamieniec 1,10739,10.87.39.100
Kuślin 1,10741,10.87.41.100
Marciszów 1,10742,10.87.42.100
Mykanów 1,10743,10.87.43.100
Nadarzyn 1,10744,10.87.44.100
Otmuchów 1,10745,10.87.45.100
Pamiątkowo 1,10746,10.87.46.100
Trzebnice 1,10747,10.87.47.100
Brzeszcze 1,10749,10.87.49.100
Buczek 1,10750,10.87.50.100
Busko Zdrój 1,10751,10.87.51.100
Gardno 1,10752,10.87.52.100
Gryfice 1,10753,10.87.53.100
Kębłowo 1,10754,10.87.54.100
Kliniska Wielkie 1,10755,10.87.55.100
Natalin 1,10756,10.87.56.100
Płoty 1,10758,10.87.58.100
Raków 1,10759,10.87.59.100
Zduńska Wola 3,10761,10.87.61.100
Jastrowie 2,10762,10.87.62.100
Bełchów 1,10763,10.87.63.100
Bledzew 1,10764,10.87.64.100
Kozłów 1,10766,10.87.66.100
Pieszyce 1,10769,10.87.69.100
Radostów 1,10770,10.87.70.100
Sypniewo 1,10772,10.87.72.100
Szczaniec 1,10773,10.87.73.100
Zduny 2,10774,10.87.74.100
Zieleniewo 1,10775,10.87.75.100
Żarki 2,10776,10.87.76.100
Żychlin 1,10777,10.87.77.100
Rzepin 1,10778,10.87.78.100
Strzelce Opolskie 1,10779,10.87.79.100
Wolbórz 1,10780,10.87.80.100
Obora 1,10781,10.87.81.100
Rowy 1,10782,10.87.82.100
Drzycim 1,10785,10.87.85.100
Jerzmanowa 1,10787,10.87.87.100
Jordanów 1,10788,10.87.88.100
Kaniów 1,10789,10.87.89.100
Kraszewice 1,10790,10.87.90.100
Lipiany 1,10791,10.87.91.100
Lusowo 1,10792,10.87.92.100
Obryte 1,10793,10.87.93.100
Pełczyce 2,10794,10.87.94.100
Pokrzywnica 1,10795,10.87.95.100
Radlin 1,10796,10.87.96.100
Strzyżew 1,10798,10.87.98.100
Siedlec 1,10800,10.88.0.100
