MARKET,NUMER SKLEPU,IP
Gostkowo (KujPom) 1,13254,10.52.154.100
Narty (Włocławski) 1,13255,10.52.155.100
Olszewnica Nowa 1,13258,10.52.158.100
Tleń 1,13260,10.52.160.100
Sięciaszka Pierwsza 1,13261,10.52.161.100
Niedźwiedź (Dol) 1,13262,10.52.162.100
Wojsławice (Łódź) 1,13265,10.52.165.100
Grodzisk Wlkp. 4,13266,10.52.166.100
Huta (Czarn-Trzci) 1,13271,10.52.171.100
Płoskinia 1,13278,10.52.178.100
Rybno (Sochaczewski) 1,13279,10.52.179.100
Kolnica (Wlkp) 1,13282,10.52.182.100
Bolimów 1,13284,10.52.184.100
Opole 5,13288,10.52.188.100
Rawa Mazowiecka 1,13289,10.52.189.100
Ruda Strawczyńska 1,13290,10.52.190.100
Golczewo (Kamieński) 1,13293,10.52.193.100
Karwowo (Radziłów) 1,13294,10.52.194.100
Kłodawa (Wlkp) 2,13295,10.52.195.100
Kozłowo (warmmaz) 1,13296,10.52.196.100
Kulesze Kościelne 1,13298,10.52.198.100
Stawiski 1,13302,10.53.102.100
Aleksandrów Kujawski 2,13305,10.53.105.100
Dobrzany 1,13309,10.53.109.100
Gąbin (Maz) 1,13310,10.53.110.100
Górzna 1,13311,10.53.111.100
Jeziora Wielkie 1,13312,10.53.112.100
Oporów 1,13313,10.53.113.100
Stare Gronowo 1,13316,10.53.116.100
Śmieszkowo (Wlkp) 1,13318,10.53.118.100
Bobrowo (KujPom) 1,13319,10.53.119.100
Broniszewice 1,13320,10.53.120.100
Brunów (Lwówecki) 1,13321,10.53.121.100
Lisków 1,13326,10.53.126.100
Olbrachtów 1,13329,10.53.129.100
Pniówek (Śl) 1,13330,10.53.130.100
Świętochłowice 1,13333,10.53.133.100
Hordzież 1,13337,10.53.137.100
Rusko (ZachPom) 1,13349,10.53.149.100
Czaplinek 2,13353,10.53.153.100
Kleczew 1,13354,10.53.154.100
Przasnysz 2,13358,10.53.158.100
Bolszewo 1,13364,10.53.164.100
Inowrocław 3,13368,10.53.168.100
Pyrzyce 2,13376,10.53.176.100
Stare Bosewo 1,13377,10.53.177.100
Babimost 2,13381,10.53.181.100
Chocianów 3,13382,10.53.182.100
Krupski Młyn 1,13389,10.53.189.100
Pajęczno 1,13391,10.53.191.100
Przyborów (Nowosolski) 1,13394,10.53.194.100
Urządków 1,13395,10.53.195.100
Wola Krasienińska 1,13396,10.53.196.100
Złota (Pińczowski) 1,13400,10.54.100.100
Gręboszów (Mał) 1,13402,10.54.102.100
Nowa Wieś Książęca (Bralin) 1,13405,10.54.105.100
Pabianice 4,13406,10.54.106.100
Tarnobrzeg 1,13411,10.54.111.100
Tarnowskie Góry 4,13412,10.54.112.100
Zakrzów (Łaziska) 1,13414,10.54.114.100
Piaski (Sierpecki) 1,13419,10.54.119.100
Strzelce Krajeńskie 1,13422,10.54.122.100
Wyszki (Podl) 1,13423,10.54.123.100
Lębork 1,13426,10.54.126.100
Karpacz 1,13428,10.54.128.100
Ligota Wielka (Oleśnicki) 1,13431,10.54.131.100
Łubie 1,13432,10.54.132.100
Płóczki Dolne 1,13434,10.54.134.100
Praszka 2,13435,10.54.135.100
Płońsk 2,13441,10.54.141.100
Rybno (Pom) 1,13442,10.54.142.100
Bobrowniki Wielkie 1,13444,10.54.144.100
Tarnobrzeg 2,13445,10.54.145.100
Gostyń 4,13446,10.54.146.100
Skoraszewice 1,13448,10.54.148.100
Łąkorz 1,13453,10.54.153.100
Okonek 1,13454,10.54.154.100
Piorunów (Wlkp) 1,13458,10.54.158.100
Rojewo (Inowrocławski) 1,13459,10.54.159.100
Sabnie 1,13460,10.54.160.100
Konarzyce (Podl) 1,13462,10.54.162.100
Tykocin 1,13463,10.54.163.100
Góra 3,13465,10.54.165.100
Idzikowice (Opo) 1,13466,10.54.166.100
Kluczewsko 1,13467,10.54.167.100
Głuchów (Turecki) 1,13475,10.54.175.100
Kazuń Polski 1,13477,10.54.177.100
Korzeniewo 1,13478,10.54.178.100
Kutno 5,13479,10.54.179.100
Trzebieszów 1,13484,10.54.184.100
Garnek (Śl) 1,13486,10.54.186.100
Mikorzyn (Kępiński) 1,13489,10.54.189.100
Rybnik (Śl) 1,13491,10.54.191.100
Rozwady (Maz) 1,13493,10.54.193.100
Sierakowo (Kościański) 1,13494,10.54.194.100
Stryjno Kolonia 1,13496,10.54.196.100
Tuszynek Majoracki 1,13497,10.54.197.100
Kruszyn (Dol) 1,13498,10.54.198.100
Cienin Zaborny 1,13500,10.55.100.100
Cychry (ZachPom) 1,13501,10.55.101.100
Pasłęk 2,13507,10.55.107.100
Glinno (Nowotomyski) 1,13510,10.55.110.100
Grudziądz 3,13511,10.55.111.100
Napiwoda 1,13512,10.55.112.100
Nowogród (Podl) 1,13513,10.55.113.100
Przytuły (Podl) 1,13514,10.55.114.100
Radomice (KujPom) 1,13515,10.55.115.100
Rudka (Bielski) 1,13516,10.55.116.100
Suchorze 1,13518,10.55.118.100
Andrychów 2,13520,10.55.120.100
Bełdów 1,13521,10.55.121.100
Młodzawy Duże 1,13523,10.55.123.100
Lubsko 3,13532,10.55.132.100
Mucharz 1,13533,10.55.133.100
Rakowice Wielkie 1,13536,10.55.136.100
Żary 4,13538,10.55.138.100
Płoty (Lubus) 1,13541,10.55.141.100
Dobrzejewice 1,13543,10.55.143.100
Rakowiec (Kwidzyński) 1,13545,10.55.145.100
Witnica (Lubus) 1,13546,10.55.146.100
Dębno (ZachPom) 1,13553,10.55.153.100
Ruda (Obornicki) 1,13554,10.55.154.100
Lipno (KujPom) 3,13555,10.55.155.100
Warpuny 1,13560,10.55.160.100
Witosław (Kujpom) 1,13561,10.55.161.100
Cekanowo (Słupno) 1,13562,10.55.162.100
Bolesław (dąbrowski) 1,13563,10.55.163.100
Bożnów 1,13564,10.55.164.100
Domiechowice 1,13566,10.55.166.100
Pstrokonie 1,13570,10.55.170.100
Skarżysko-Kamienna 4,13572,10.55.172.100
Sadów 1,13573,10.55.173.100
Zdzieszowice 1,13575,10.55.175.100
Koprzywnica (Święt) 1,13577,10.55.177.100
Wijewo 1,13582,10.55.182.100
Moszyce 1,13584,10.55.184.100
Włocławek 2,13592,10.55.192.100
Sierpc 1,13593,10.55.193.100
Wyszyny 1,13608,10.56.108.100
Dąbrowa Rzeczycka 1,13609,10.56.109.100
Krosno Odrzańskie 2,13610,10.56.110.100
Skopanie 1,13613,10.56.113.100
Kostrzyn nad Odrą 2,13619,10.56.119.100
Międzylesie (Turecki) 1,13621,10.56.121.100
Radziejowice 1,13623,10.56.123.100
Russocice 1,13625,10.56.125.100
Siedliszcze 1,13631,10.56.131.100
Większyce 1,13632,10.56.132.100
Kłoda (Leszczyński) 1,13634,10.56.134.100
Wilamów (Poddębicki) 1,13635,10.56.135.100
Dębno (ZachPom) 2,13637,10.56.137.100
Koło 1,13639,10.56.139.100
Strachówka 1,13640,10.56.140.100
Mąkolice (Zgierski) 1,13642,10.56.142.100
Białynin 1,13644,10.56.144.100
Kaliszkowice Kaliskie 1,13646,10.56.146.100
Jarocin 2,13647,10.56.147.100
Korzecko 1,13648,10.56.148.100
Łęczno (Łódź) 1,13649,10.56.149.100
Mokrzyska 2,13650,10.56.150.100
Pełczyn (Dol) 1,13651,10.56.151.100
Starosiedle 1,13653,10.56.153.100
Bończa (Wlkp) 1,13656,10.56.156.100
Mieścisko 2,13660,10.56.160.100
Parchanie 1,13661,10.56.161.100
Sorkwity 1,13664,10.56.164.100
Ciekoty 1,13669,10.56.169.100
Kunowice 1,13676,10.56.176.100
Leszno 10,13685,10.56.185.100
Nowy Dwór (Oleśnicki) 1,13688,10.56.188.100
Jarocin 7,13689,10.56.189.100
Nowa Sól 4,13691,10.56.191.100
Brochów 1,13693,10.56.193.100
Międzyzdroje 1,13698,10.56.198.100
Węgrów (Maz) 1,13699,10.56.199.100
Mały Płock,13701,10.57.101.100
Łobez 3,13703,10.57.103.100
Pławna (Dol) 1,13705,10.57.105.100
Andrzejewo (Maz) 1,13707,10.57.107.100
Barczewo 1,13708,10.57.108.100
Szczecinek 3,13713,10.57.113.100
Rydułtowy 1,13723,10.57.123.100
Tychowo (białogardzki) 1,13727,10.57.127.100
Kuniów 1,13730,10.57.130.100
Oborniki (Wlkp) 3,13735,10.57.135.100
Płock 3,13736,10.57.136.100
Węgierska Górka 1,13743,10.57.143.100
Chwalęcice (Lubus) 1,13747,10.57.147.100
Paproć 1,13751,10.57.151.100
Szczytno (Warmmaz) 2,13754,10.57.154.100
Klementowice 1,13757,10.57.157.100
Cisew 1,13761,10.57.161.100
Szubin 2,13763,10.57.163.100
Tomaszów Mazowiecki 5,13772,10.57.172.100
Baranowo (Mrągowski) 1,13775,10.57.175.100
Lipowina 1,13778,10.57.178.100
Żdżary (Koniński) 1,13784,10.57.184.100
Jarocin 1,13789,10.57.189.100
Kobierzyn 1,13790,10.57.190.100
Rawicz 3,13793,10.57.193.100
Żychlin (Koniński) 1,13802,10.58.102.100
Braszowice 1,13803,10.58.103.100
Ruszowice 2,13807,10.58.107.100
Obrazów 1,13811,10.58.111.100
Kazimierzówka 1,13813,10.58.113.100
Dąbrowy (warmmaz) 1,13818,10.58.118.100
Grabowo (Iławski) 1,13822,10.58.122.100
Boguty Pianki 1,13826,10.58.126.100
Jodłownik (Mał) 1,13829,10.58.129.100
Blizno (Maz) 1,13834,10.58.134.100
Nowy Kiełbów 1,13836,10.58.136.100
Izbicko 1,13843,10.58.143.100
Niedoradz 1,13847,10.58.147.100
Strzałków (Łódź) 1,13850,10.58.150.100
Łyse (maz) 1,13855,10.58.155.100
Szczecinek 5,13859,10.58.159.100
Goworówek 1,13860,10.58.160.100
Płoty 2,13861,10.58.161.100
Andrychów 3,13865,10.58.165.100
Granowo 2,13868,10.58.168.100
Konstantynów Łódzki 1,13870,10.58.170.100
Ligota Turawska 1,13871,10.58.171.100
Niechlów 1,13873,10.58.173.100
Zbrosławice 1,13880,10.58.180.100
Nieświń 1,13882,10.58.182.100
Pruszków (Maz) 1,13889,10.58.189.100
Chynów (Maz) 1,13892,10.58.192.100
Wojciechów (Oleski) 1,13897,10.58.197.100
Żary 3,13898,10.58.198.100
Ratoszyn Pierwszy 1,13900,10.59.100.100
Gubin 3,13908,10.59.108.100
Jedlina Zdrój 2,13909,10.59.109.100
Pabianice 3,13911,10.59.111.100
Łukowica 1,13913,10.59.113.100
Dzierzgowo 1,13917,10.59.117.100
Mielżyn 1,13921,10.59.121.100
Płock 4,13922,10.59.122.100
Podpniewki 1,13923,10.59.123.100
Szczucin 1,13926,10.59.126.100
Skierniewice 3,13934,10.59.134.100
Czersk (Pom) 1,13938,10.59.138.100
Ligowo 1,13939,10.59.139.100
Łobez 4,13940,10.59.140.100
Kondratowice 1,13947,10.59.147.100
Troszyn (Maz) 1,13964,10.59.164.100
Łask 3,13975,10.59.175.100
Ćmielów 1,13977,10.59.177.100
Gutowo Małe 1,13981,10.59.181.100
Komorowo (Nidzicki) 1,13983,10.59.183.100
Śliwice (kujpom) 1,13988,10.59.188.100
Nienałty-Brewki 1,13989,10.59.189.100
Bąków (Kluczborski) 1,13990,10.59.190.100
Kije (Lubus) 1,13991,10.59.191.100
Bławaty 1,13994,10.59.194.100
Bytyń (Wlkp) 1,13995,10.59.195.100
Cieszyny (KujPom) 1,13996,10.59.196.100
Koziebrody 1,13997,10.59.197.100
Licheń Stary 1,13998,10.59.198.100
Templewo 1,14000,10.190.0.100
Święciechowa 1,14008,10.190.8.100
Włoszakowice 2,14009,10.190.9.100
Ciechanowiec 1,14013,10.190.13.100
Dobiesław (Sławieński) 1,14014,10.190.14.100
Wałcz 1,14017,10.190.17.100
Kolonia Żuchowice 1,14020,10.190.20.100
Opole Lubelskie 1,14025,10.190.25.100
Choszczno 3,14028,10.190.28.100
Ruda (Wołomiński) 1,14036,10.190.36.100
Suraż 1,14037,10.190.37.100
Nisko (Podk) 1,14045,10.190.45.100
Szynkielew 1,14047,10.190.47.100
Ostrowiec Świętokrzyski 4,14052,10.190.52.100
Marianowo (ZachPom) 1,14055,10.190.55.100
Opalenica (Wlkp) 1,14056,10.190.56.100
Pieniężno 1,14060,10.190.60.100
Bielewo 1,14061,10.190.61.100
Kuźnia Raciborska 1,14063,10.190.63.100
Steblów (Krapkowicki) 1,14066,10.190.66.100
Częstochowa 4,14072,10.190.72.100
Wrzelowiec 1,14074,10.190.74.100
Janowiec Kościelny 1,14075,10.190.75.100
Brzeżno 1,14086,10.190.86.100
Nidzica 1,14090,10.190.90.100
Różańsko 1,14091,10.190.91.100
Sanniki (Maz) 1,14092,10.190.92.100
Zieluń 1,14096,10.190.96.100
Robakowo (Pom) 1,14098,10.190.98.100
Kałków (Opo) 1,14099,10.190.99.100
Bielsk Podlaski 1,14105,10.191.5.100
Miały 1,14117,10.191.17.100
Trzemżal 1,14122,10.191.22.100
Zwierzyn (Lubus) 1,14123,10.191.23.100
Chalin (KujPom) 1,14124,10.191.24.100
Mędrzechów 1,14127,10.191.27.100
Polkowice 2,14130,10.191.30.100
Rosnowo (Koszaliński) 1,14142,10.191.42.100
Wąbrzeźno 2,14143,10.191.43.100
Nowa Wieś (Kościański) 1,14150,10.191.50.100
Białuń (Goleniowski) 1,14151,10.191.51.100
Galew (Turecki) 1,14153,10.191.53.100
Modrzewie (ZachPom) 1,14157,10.191.57.100
Solca Wielka 1,14162,10.191.62.100
Przejęsław 1,14168,10.191.68.100
Pietna 1,14171,10.191.71.100
Łososina Dolna 1,14172,10.191.72.100
Rudunki (KujPom) 1,14184,10.191.84.100
Czerwonka Szlachecka 1,14187,10.191.87.100
Buczyna (Dol) 1,14193,10.191.93.100
Murzynowo Leśne 1,14195,10.191.95.100
Goździk 1,14199,10.191.99.100
Kiączyn 1,14211,10.192.11.100
Siedlec (Dol) 1,14229,10.192.29.100
Łęgajny 1,14239,10.192.39.100
Ostrów 13,14250,10.192.50.100
Świeradów Zdrój 1,14253,10.192.53.100
Jastrowie 4,14257,10.192.57.100
Rudno (Śl) 1,14269,10.192.69.100
Człuchów 3,14275,10.192.75.100
Resko 2,14282,10.192.82.100
Legnica 5,14287,10.192.87.100
Zduny (Łęczycki) 1,14309,10.193.9.100
Opole Lubelskie 2,14310,10.193.10.100
Mnich 1,14312,10.193.12.100
Słupsk 1,14326,10.193.26.100
Szyldak 1,14327,10.193.27.100
Grębów (Podk) 1,14331,10.193.31.100
Chodzież 2,14340,10.193.40.100
Kaliska (Włocławski) 1,14367,10.193.67.100
Obrzębin 1,14369,10.193.69.100
Gorzyczki (Śl) 1,14383,10.193.83.100
Zwoleń 1,14391,10.193.91.100
Orneta 1,14398,10.193.98.100
Wola Mysłowska 1,14405,10.194.5.100
Parznice 1,14409,10.194.9.100
Borkowo (Gdański) 1,14410,10.194.10.100
Szczytniki Duchowne 1,14420,10.194.20.100
zenin (łódz.) [I],14427,10.194.27.100
Nidek 1,14428,10.194.28.100
Myślibórz 2,14436,10.194.36.100
Płoniawy Bramura 1,14437,10.194.37.100
Sławno (Sławieński) 4,14439,10.194.39.100
jczyn [V],14451,10.194.51.100
Nasielsk 1,14454,10.194.54.100
Olszówka (Kolski) 1,14455,10.194.55.100
Goniądz 1,14459,10.194.59.100
Budzyń (Olkuski) 1,14460,10.194.60.100
Lelis 1,14471,10.194.71.100
Lubajny 1,14472,10.194.72.100
Kobylec (Wlkp) 1,14486,10.194.86.100
Lubawa 1,14487,10.194.87.100
Szumowo (Zambrowski) 1,14492,10.194.92.100
Żabiny 1,14496,10.194.96.100
Brzeg 2,14497,10.194.97.100
Parzniewice Małe 1,14504,10.195.4.100
Łubiana 1,14516,10.195.16.100
Bądkowo Kościelne 1,14525,10.195.25.100
Gryfino 2,14527,10.195.27.100
Puczniew 1,14541,10.195.41.100
Pietrzwałd (Warmmaz) 1,14547,10.195.47.100
Międzybórz (Dol) 1,14560,10.195.60.100
Otałęż 1,14561,10.195.61.100
Gostynin 2,14566,10.195.66.100
Chojno (Rawicki) 1,14594,10.195.94.100
Zawiercie 2,14604,10.196.4.100
Boguszyce (Rawski) 1,14632,10.196.32.100
Bronowice (Lubel) 1,14646,10.196.46.100
Kaczory 2,14650,10.196.50.100
Głowno 1,14668,10.196.68.100
Wola Blakowa 1,14688,10.196.88.100
Miłakowo 1,14693,10.196.93.100
Rędziny (Częstochowski) 1,14706,10.197.6.100
Józefów nad Wisłą 1,14713,10.197.13.100
Posoka (Koniński) 1,14728,10.197.28.100
Przyłęk (Wlkp) 1,14729,10.197.29.100
Ostrów (Kraśnicki) 1,14747,10.197.47.100
Rososz (Lubel) 1,14766,10.197.66.100
Miedzna 1,14774,10.197.74.100
Olesno (Mał) 1,14794,10.197.94.100
Syców 1,14796,10.197.96.100
Strzegom (Dol) 1,14797,10.197.97.100
rwin [N],14813,10.198.13.100
Ogorzeliny 1,14834,10.198.34.100
Kamionka Wielka 1,14871,10.198.71.100
Starzykowo 1,14894,10.198.94.100
Brześć Kujawski 1,14904,10.199.4.100
Grabowo (Kolneński) 1,14906,10.199.6.100
Lubliniec 3,14931,10.199.31.100
Niemodlin 1,14934,10.199.34.100
Szczytno (Warmmaz) 1,14971,10.199.71.100
Mniów 1,14988,10.199.88.100
haczew 3 [N],15015,10.190.115.100
Przanowice 1,15049,10.190.149.100
ecie (kuj.-pom.) [V],15054,10.190.154.100
Emolinek 1,15058,10.190.158.100
Witaszyce 2,15144,10.191.144.100
